NAME,totalPop,whitePop,state,county,tract,block group,whitePercep,nonwhitePercep
"Block Group 1, Census Tract 81.02, Philadelphia County, Pennsylvania",858,0,42,101,008102,1,0.0,1.0
"Block Group 5, Census Tract 81.02, Philadelphia County, Pennsylvania",894,11,42,101,008102,5,0.012304250559284116,0.9876957494407159
"Block Group 3, Census Tract 81.02, Philadelphia County, Pennsylvania",543,0,42,101,008102,3,0.0,1.0
"Block Group 2, Census Tract 248, Philadelphia County, Pennsylvania",1109,26,42,101,024800,2,0.023444544634806132,0.9765554553651938
"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2331,911,42,101,000200,1,0.3908193908193908,0.6091806091806091
"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",1341,898,42,101,000600,1,0.6696495152870992,0.33035048471290085
"Block Group 1, Census Tract 241, Philadelphia County, Pennsylvania",1535,394,42,101,024100,1,0.25667752442996744,0.7433224755700325
"Block Group 1, Census Tract 248, Philadelphia County, Pennsylvania",1058,17,42,101,024800,1,0.01606805293005671,0.9839319470699432
"Block Group 2, Census Tract 265, Philadelphia County, Pennsylvania",917,0,42,101,026500,2,0.0,1.0
"Block Group 6, Census Tract 267, Philadelphia County, Pennsylvania",1062,0,42,101,026700,6,0.0,1.0
"Block Group 7, Census Tract 267, Philadelphia County, Pennsylvania",980,145,42,101,026700,7,0.14795918367346939,0.8520408163265306
"Block Group 4, Census Tract 267, Philadelphia County, Pennsylvania",1055,34,42,101,026700,4,0.03222748815165877,0.9677725118483412
"Block Group 5, Census Tract 267, Philadelphia County, Pennsylvania",1122,0,42,101,026700,5,0.0,1.0
"Block Group 2, Census Tract 286, Philadelphia County, Pennsylvania",554,93,42,101,028600,2,0.16787003610108303,0.832129963898917
"Block Group 4, Census Tract 286, Philadelphia County, Pennsylvania",1230,127,42,101,028600,4,0.10325203252032521,0.8967479674796748
"Block Group 5, Census Tract 286, Philadelphia County, Pennsylvania",1314,112,42,101,028600,5,0.0852359208523592,0.9147640791476408
"Block Group 1, Census Tract 286, Philadelphia County, Pennsylvania",2471,260,42,101,028600,1,0.10522055847834885,0.8947794415216511
"Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",1782,1529,42,101,000100,1,0.8580246913580247,0.14197530864197527
"Block Group 4, Census Tract 13, Philadelphia County, Pennsylvania",616,311,42,101,001300,4,0.5048701298701299,0.4951298701298701
"Block Group 1, Census Tract 13, Philadelphia County, Pennsylvania",724,498,42,101,001300,1,0.6878453038674033,0.3121546961325967
"Block Group 5, Census Tract 13, Philadelphia County, Pennsylvania",2761,1894,42,101,001300,5,0.6859833393697935,0.3140166606302065
"Block Group 3, Census Tract 13, Philadelphia County, Pennsylvania",580,71,42,101,001300,3,0.12241379310344827,0.8775862068965518
