,SEG_ID,pointId,Animal,Archway,Bicyclist,Bridge,Building,Car,CartLuggagePram,Child,Column_Pole,Fence,LaneMkgsDriv,LaneMkgsNonDriv,Misc_Text,MotorcycleScooter,OtherMoving,ParkingBlock,Pedestrian,Road,RoadShoulder,Sidewalk,SignSymbol,Sky,SUVPickupTruck,TrafficCone,TrafficLight,Train,Tree,Truck_Bus,Tunnel,VegetationMisc,Void,Wall
0,641548,010394,4,57,513,3961,185859,6573,0,3,1642,5359,991,0,52567,0,41,25611,2,25065,163,6962,26,116178,2763,10,22,0,256615,1525,0,211069,95643,49352
0,640416,001313,1,0,2348,3583,339775,6591,3,0,3967,2965,65,6,4656,0,77,15682,1237,13385,86,636,64,279133,8303,0,7,0,191244,1631,0,54069,66082,52980
0,620130,007230,1,37,1012,143,179598,9079,56,59,1894,822,672,0,32358,0,3278,6541,846,126740,205,25373,22,153129,2222,126,407,0,146165,2195,0,206713,136329,12554
0,401340,009336,0,0,1454,733,204396,27068,257,0,3657,6483,365,0,13606,1,992,14906,744,191138,8787,39142,164,276167,3830,0,1,0,63243,7148,0,64959,84051,35284
0,761434,006817,8,9,75,876,127222,51155,0,1,1812,917,1890,0,36279,0,252,36445,89,59103,135,611,18,256901,5028,121,25,0,195356,4110,0,140999,124267,4872
0,661004,001753,1,1,502,3593,178632,23668,0,0,4105,6231,186,1,6104,0,2187,5595,1915,30604,1007,8862,24,414966,15476,0,6,0,102515,13613,0,54552,114346,59884
0,522386,010446,0,0,0,505,15088,1738,0,0,1189,133,51,10,843,0,0,24525,0,140064,8645,19095,0,338477,413,1,40,0,322033,139,0,108954,64356,2277
0,1080417,006405,1,0,145,1489,78294,2534,1,0,1293,2724,602,0,12277,0,108,5597,0,55182,12428,4562,1,406349,2407,0,1,0,224532,5725,0,169275,50711,12338
0,522084,001125,0,11,1075,634,316968,7421,20,77,4460,1411,259,0,6574,0,5043,12882,1610,99279,66,49177,585,127386,1417,0,110,0,192149,807,0,130701,72384,16070
0,820511,010593,0,115,858,2405,82640,1222,0,0,2870,21886,667,0,28698,0,4,19740,34,50780,872,44865,21,135114,1617,0,76,0,327846,285,0,217051,77712,31198
0,980321,004427,0,2,1848,543,124183,40962,1,0,3579,4329,829,0,2374,0,117,10584,479,94892,110,4158,520,390342,17851,0,1,0,117609,7958,0,91820,99745,33740
0,700003,010133,0,8,1,4,96430,24899,0,0,1636,1883,40,0,32896,0,62,7715,12,81296,332,28125,15,69794,30,48,5,0,400872,56,0,264190,27322,10905
0,1180050,004139,0,37,6,302,104936,7056,3,0,3130,1436,2691,0,49584,0,473,33164,1,117968,476,2364,83,150454,341,1789,4,0,312413,81,0,178643,67183,13958
0,543031,005543,1,112,947,1077,121855,4007,0,0,2134,1867,1073,0,51543,0,315,48270,492,48741,357,8845,18,201424,172,63,80,0,229964,811,0,157941,133246,33221
0,620576,007674,27,0,334,5440,216127,6451,0,2,3942,4729,815,0,15342,0,807,41898,270,80065,245,10701,430,183214,1288,117,3,0,190713,1582,0,127155,120320,36559
0,860257,005996,3,10,752,677,168656,19928,0,0,4203,7713,584,0,11952,0,932,9578,131,61054,179,5246,6,316799,14128,4,0,0,112238,3928,0,133912,137186,38777
0,321573,000450,22,3,661,533,305899,20838,2,0,749,1456,1988,1,46837,0,3166,14550,486,182085,1352,36855,29,86913,2195,49,8,0,189345,161,0,70291,57259,24843
0,422713,009395,1,0,93,1092,55288,28561,4,0,1982,5157,169,0,2489,0,257,17883,49,220410,2525,29384,3,300122,4267,2,0,0,200769,2747,0,33902,111697,29723
0,820784,010565,0,0,469,1882,155351,14048,0,0,4805,955,364,0,3942,0,420,6588,102,197238,2214,38555,43,335663,6416,0,1,0,75289,3661,0,72517,88545,39508
